"","AAA","AAB","ABA","ABB","ABC","D"
"bakaną",0.2435,0.1609,0.2792,0.1694,0.147,0
"bannaną",0.2509,0.1667,0.2699,0.1677,0.1448,0
"beraną",0.0655,0.2627,0.092,0.2681,0.3117,0
"berganą",0.105,0.2479,0.1141,0.2503,0.2827,0
"beudaną",0.1067,0.2443,0.1384,0.2468,0.2638,0
"bidjaną",0.1473,0.1997,0.2718,0.2014,0.1798,0
"bilībaną",0.0957,0.2432,0.1302,0.248,0.2829,0
"bindaną",0.064,0.2721,0.0887,0.2602,0.315,0
"blēsaną",0.2391,0.152,0.3156,0.1599,0.1334,0
"brekaną",0.0881,0.258,0.1043,0.2573,0.2923,0
"brestaną",0.1149,0.2443,0.1435,0.2486,0.2487,0
"brewwaną",0.175,0.2156,0.1637,0.2154,0.2303,0
"brinnaną",0.0773,0.2694,0.1007,0.2596,0.293,0
"bīdaną",0.0979,0.2525,0.1118,0.2546,0.2832,0
"bītaną",0.0918,0.2488,0.141,0.244,0.2744,0
"draganą",0.1703,0.1448,0.422,0.1495,0.1134,0
"drepaną",0.1928,0.1875,0.234,0.1878,0.1979,0
"drinkaną",0.0671,0.2723,0.0902,0.2611,0.3093,0
"drībaną",0.1001,0.2408,0.1483,0.2451,0.2657,0
"etaną",0.1753,0.1508,0.4162,0.1417,0.116,0
"fallaną",0.2101,0.161,0.3235,0.1604,0.145,0
"fanhaną",0.2177,0.1891,0.2374,0.1833,0.1725,0
"faraną",0.2197,0.1456,0.3814,0.1438,0.1095,0
"fehtaną",0.1394,0.2282,0.1514,0.2321,0.2489,0
"finþaną",0.0659,0.2624,0.089,0.2615,0.3212,0
"fleuganą",0.0995,0.2498,0.1216,0.2469,0.2822,0
"fleuhaną",0.0882,0.2615,0.1024,0.2575,0.2904,0
"fleutaną",0.1321,0.2304,0.1726,0.2225,0.2424,0
"fragebaną",0.1734,0.175,0.3289,0.169,0.1537,0
"freusaną",0.0964,0.2629,0.122,0.2447,0.274,0
