WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
aa	aar	Afar	East Cushitic	Latn	Afar
ab	abk	Abkhaz	Abkhaz-Abaza	Cyrl, Geor, Latn	Abkhazian
ae	ave	Avestan	Central Iranian	Avst, Gujr	Avestan
af	afr	Afrikaans	West Germanic	Latn, Arab	Afrikaans
ak	aka	Akan	Central Tano	Latn	Akan
am	amh	Amharic	Ethiopian Semitic	Ethi	Amharic
an	arg	Aragonese	West Iberian	Latn	Aragonese
ar	ara	Arabic	Arabic	Arab, Hebr, Brai	Arabic
as	asm	Assamese	Eastern Indo-Aryan	as-Beng	Assamese
av	ava	Avar	Avaro-Andian	Cyrl, Latn, Arab	Avaric
ay	aym	Aymara	Aymaran	Latn	Aymara
az	aze	Azerbaijani	Oghuz	Latn, Cyrl, fa-Arab	Azerbaijani
ba	bak	Bashkir	Kipchak-Bulgar	Cyrl	Bashkir
be	bel	Belarusian	East Slavic	Cyrl, Latn	Belarusian
bg	bul	Bulgarian	South Slavic	Cyrl	Bulgarian
bi	bis	Bislama	creole or pidgin	Latn	Bislama
bm	bam	Bambara	East Manding	Latn	Bambara
bn	ben	Bengali	Eastern Indo-Aryan	Beng, Newa	Bengali
bo	bod	Tibetan	Tibetic	Tibt	Tibetan
br	bre	Breton	Brythonic	Latn	Breton
ca	cat	Catalan	Occitano-Romance	Latn	Catalan
ce	che	Chechen	Vainakh	Cyrl, Latn, Arab	Chechen
ch	cha	Chamorro	Sunda-Sulawesi	Latn	Chamorro
co	cos	Corsican	Italo-Dalmatian	Latn	Corsican
cr	cre	Cree	Algonquian	Cans, Latn	Cree
cs	ces	Czech	West Slavic	Latn	Czech
cu	chu	Old Church Slavonic	South Slavic	Cyrs, Glag	Church Slavic
cv	chv	Chuvash	Oghur	Cyrl	Chuvash
cy	cym	Welsh	Brythonic	Latn	Welsh
da	dan	Danish	North Germanic	Latn	Danish
de	deu	German	West Germanic	Latn, Latf	German
dv	div	Dhivehi	Insular Indo-Aryan	Thaa, Diak	Dhivehi
dz	dzo	Dzongkha	Tibetic	Tibt	Dzongkha
ee	ewe	Ewe	Gbe	Latn	Ewe
el	ell	Greek	Hellenic	Grek, Brai	Modern Greek (1453-)
en	eng	English	West Germanic	Latn, Brai, Shaw, Dsrt	English
eo	epo	Esperanto	constructed	Latn	Esperanto
es	spa	Spanish	West Iberian	Latn, Brai	Spanish
et	est	Estonian	Finnic	Latn	Estonian
eu	eus	Basque	Vasconic	Latn	Basque
fa	fas	Persian	Southwestern Iranian	fa-Arab	Persian
ff	ful	Fula	Fula-Wolof	Latn, Adlm	Fulah
fi	fin	Finnish	Finnic	Latn	Finnish
fj	fij	Fijian	Central-Eastern Oceanic	Latn	Fijian
fo	fao	Faroese	North Germanic	Latn	Faroese
fr	fra	French	Oïl	Latn, Brai	French
fy	fry	West Frisian	Frisian	Latn	Western Frisian
ga	gle	Irish	Goidelic	Latn, Latg	Irish
gd	gla	Scottish Gaelic	Goidelic	Latn, Latg	Scottish Gaelic
gl	glg	Galician	West Iberian	Latn	Galician
gn	grn	Guaraní	Tupi-Guarani	Latn	Guarani
gu	guj	Gujarati	Western Indo-Aryan	Gujr	Gujarati
gv	glv	Manx	Goidelic	Latn	Manx
ha	hau	Hausa	West Chadic	Latn, Arab	Hausa
he	heb	Hebrew	Canaanite	Hebr, Phnx, Brai	Hebrew
hi	hin	Hindi	Hindustani	Deva, Kthi, Newa	Hindi
ho	hmo	Hiri Motu	creole or pidgin	Latn	Hiri Motu
ht	hat	Haitian Creole	creole or pidgin	Latn	Haitian
hu	hun	Hungarian	Ugric	Latn, Hung	Hungarian
hy	hye	Armenian	Armenian	Armn, Brai	Armenian
hz	her	Herero	Southwest Bantu	Latn	Herero
ia	ina	Interlingua	constructed	Latn	Interlingua (International Auxiliary Language Association)
id	ind	Indonesian	Malayic	Latn	Indonesian
ie	ile	Interlingue	constructed	Latn	Interlingue
ig	ibo	Igbo	Igboid	Latn	Igbo
ii	iii	Sichuan Yi	Loloish	Yiii	Sichuan Yi
ik	ipk	Inupiaq	Inuit	Latn	Inupiaq
io	ido	Ido	constructed	Latn	Ido
is	isl	Icelandic	North Germanic	Latn	Icelandic
it	ita	Italian	Italo-Dalmatian	Latn	Italian
iu	iku	Inuktitut	Inuit	Cans, Latn	Inuktitut
ja	jpn	Japanese	Japonic	Jpan, Brai	Japanese
jv	jav	Javanese	Sunda-Sulawesi	Latn, Java	Javanese
ka	kat	Georgian	Georgian-Zan	Geor, Geok, Hebr	Georgian
kg	kon	Kongo	Kongo	Latn	Kongo
ki	kik	Kikuyu	Kikuyu-Kamba	Latn	Kikuyu
kj	kua	Kwanyama	Ovambo	Latn	Kuanyama
kk	kaz	Kazakh	Kipchak-Nogai	Cyrl, Latn, kk-Arab	Kazakh
kl	kal	Greenlandic	Inuit	Latn	Kalaallisut
km	khm	Khmer	Khmeric	Khmr	Khmer
kn	kan	Kannada	Dravidian	Knda	Kannada
ko	kor	Korean	Koreanic	Kore, Brai	Korean
kr	kau	Kanuri	Saharan	Latn, Arab	Kanuri
ks	kas	Kashmiri	Dardic	ks-Arab, Deva, Shrd, Latn	Kashmiri
kw	cor	Cornish	Brythonic	Latn	Cornish
ky	kir	Kyrgyz	Kipchak	Cyrl, Latn, Arab	Kirghiz
la	lat	Latin	Italic	Latn, Ital	Latin
lb	ltz	Luxembourgish	West Germanic	Latn	Luxembourgish
lg	lug	Luganda	Nyoro-Ganda	Latn	Ganda
li	lim	Limburgish	West Germanic	Latn	Limburgan
ln	lin	Lingala	Bangi-Moi	Latn	Lingala
lo	lao	Lao	Southwestern Tai	Laoo	Lao
lt	lit	Lithuanian	Baltic	Latn	Lithuanian
lu	lub	Luba-Katanga	Luba	Latn	Luba-Katanga
lv	lav	Latvian	Baltic	Latn	Latvian
mg	mlg	Malagasy	East Barito	Latn	Malagasy
mh	mah	Marshallese	Micronesian	Latn	Marshallese
mi	mri	Maori	Eastern Polynesian	Latn	Maori
mk	mkd	Macedonian	South Slavic	Cyrl	Macedonian
ml	mal	Malayalam	Dravidian	Mlym	Malayalam
mn	mon	Mongolian	Mongolic	Cyrl, Mong, Latn	Mongolian
mr	mar	Marathi	Southern Indo-Aryan	Deva, Modi	Marathi
ms	msa	Malay	Malayic	Latn, ms-Arab	Malay (macrolanguage)
mt	mlt	Maltese	Arabic	Latn	Maltese
my	mya	Burmese	Burmish	Mymr	Burmese
na	nau	Nauruan	Micronesian	Latn	Nauru
nb	nob	Norwegian Bokmål	North Germanic	Latn	Norwegian Bokmål
nd	nde	Northern Ndebele	Nguni	Latn	North Ndebele
ne	nep	Nepali	Pahari	Deva, Newa	Nepali (macrolanguage)
ng	ndo	Ndonga	Ovambo	Latn	Ndonga
nl	nld	Dutch	West Germanic	Latn	Dutch
nn	nno	Norwegian Nynorsk	North Germanic	Latn	Norwegian Nynorsk
no	nor	Norwegian	North Germanic	Latn	Norwegian
nr	nbl	Southern Ndebele	Nguni	Latn	South Ndebele
nv	nav	Navajo	Apachean	Latn	Navajo
ny	nya	Chichewa	Nyasa	Latn	Nyanja
oc	oci	Occitan	Occitano-Romance	Latn, Hebr	Occitan (post 1500)
oj	oji	Ojibwe	Algonquian	Cans, Latn	Ojibwa
om	orm	Oromo	East Cushitic	Latn, Ethi	Oromo
or	ori	Oriya	Eastern Indo-Aryan	Orya	Oriya (macrolanguage)
os	oss	Ossetian	Scythian	Cyrl, Geor, Latn	Ossetian
pa	pan	Punjabi	Punjabi-Lahnda	Guru, pa-Arab	Panjabi
pi	pli	Pali	Middle Indo-Aryan	Latn, Brah, Deva, Beng, Sinh, Mymr, Thai, Lana, Laoo, Khmr, Cakm	Pali
pl	pol	Polish	Lechitic	Latn	Polish
ps	pus	Pashto	Pathan	ps-Arab	Pushto
pt	por	Portuguese	West Iberian	Latn, Brai	Portuguese
qu	que	Quechua	Quechuan	Latn	Quechua
rm	roh	Romansch	Rhaeto-Romance	Latn	Romansh
ro	ron	Romanian	Eastern Romance	Latn, Cyrl	Romanian
ru	rus	Russian	East Slavic	Cyrl, Cyrs, Brai	Russian
rw	kin	Rwanda-Rundi	Great Lakes Bantu	Latn	Kinyarwanda
sa	san	Sanskrit	Old Indo-Aryan	Deva, Bali, as-Beng, Beng, Bhks, Brah, Gran, Gujr, Guru, Hani, Java, Kawi, Khar, Khmr, Knda, Lana, Laoo, Marc, Mlym, Modi, Mong, mnc-Mong, xwo-Mong, Mymr, Nand, Newa, Orya, Phag, Ranj, Saur, Shrd, Sidd, Sinh, Taml, Tang, Telu, Thai, Tibt, Tirh	Sanskrit
sc	srd	Sardinian	Romance	Latn	Sardinian
sd	snd	Sindhi	Sindhi	sd-Arab, Deva, Sind, Khoj	Sindhi
se	sme	Northern Sami	Sami	Latn	Northern Sami
sg	sag	Sango	creole or pidgin	Latn	Sango
sh	hbs	Serbo-Croatian	South Slavic	Latn, Cyrl, Glag	Serbo-Croatian
si	sin	Sinhalese	Insular Indo-Aryan	Sinh	Sinhala
sk	slk	Slovak	West Slavic	Latn	Slovak
sl	slv	Slovene	South Slavic	Latn	Slovenian
sm	smo	Samoan	Nuclear Polynesian	Latn	Samoan
sn	sna	Shona	Shona	Latn	Shona
so	som	Somali	East Cushitic	Latn, Arab, Osma	Somali
sq	sqi	Albanian	Albanian	Latn, Grek, Elba	Albanian
ss	ssw	Swazi	Nguni	Latn	Swati
st	sot	Sotho	Sotho-Tswana	Latn	Southern Sotho
su	sun	Sundanese	Malayo-Sumbawan	Latn, Sund	Sundanese
sv	swe	Swedish	North Germanic	Latn	Swedish
sw	swa	Swahili	Swahili	Latn, Arab	Swahili (macrolanguage)
ta	tam	Tamil	Dravidian	Taml	Tamil
te	tel	Telugu	Dravidian	Telu	Telugu
tg	tgk	Tajik	Southwestern Iranian	Cyrl, fa-Arab, Latn	Tajik
th	tha	Thai	Southwestern Tai	Thai, Brai	Thai
ti	tir	Tigrinya	Ethiopian Semitic	Ethi	Tigrinya
tk	tuk	Turkmen	Oghuz	Latn, Cyrl, Arab	Turkmen
tl	tgl	Tagalog	Philippine	Latn, Tglg	Tagalog
tn	tsn	Tswana	Sotho-Tswana	Latn	Tswana
to	ton	Tongan	Polynesian	Latn	Tonga (Tonga Islands)
tr	tur	Turkish	Oghuz	Latn	Turkish
ts	tso	Tsonga	Tswa-Ronga	Latn	Tsonga
tt	tat	Tatar	Kipchak-Bulgar	Cyrl, Latn, tt-Arab	Tatar
ty	tah	Tahitian	Eastern Polynesian	Latn	Tahitian
ug	uig	Uyghur	Karluk	ug-Arab, Latn, Cyrl	Uighur
uk	ukr	Ukrainian	East Slavic	Cyrl	Ukrainian
ur	urd	Urdu	Hindustani	ur-Arab	Urdu
uz	uzb	Uzbek	Karluk	Latn, Cyrl, fa-Arab	Uzbek
ve	ven	Venda	Southern Bantu	Latn	Venda
vi	vie	Vietnamese	Vietic	Latn, Hani	Vietnamese
vo	vol	Volapük	constructed	Latn	Volapük
wa	wln	Walloon	Oïl	Latn	Walloon
wo	wol	Wolof	Fula-Wolof	Latn, Arab	Wolof
xh	xho	Xhosa	Nguni	Latn	Xhosa
yi	yid	Yiddish	West Germanic	Hebr	Yiddish
yo	yor	Yoruba	Yoruboid	Latn, Arab	Yoruba
za	zha	Zhuang	Tai	Latn, Hani	Zhuang
zh	zho	Chinese	Sinitic	Hani, Hant, Hans, Latn, Bopo, Nshu, Brai	Chinese
zu	zul	Zulu	Nguni	Latn	Zulu
aaa	aaa	Ghotuo	Yekhee	Latn	Ghotuo
aab	aab	Alumu-Tesu	Alumic	Latn	Alumu-Tesu
aac	aac	Ari	Papuan Gulf	Latn	Ari
aad	aad	Amal	Iwam	Latn	Amal
aaf	aaf	Aranadan	Dravidian	Mlym	Aranadan
aag	aag	Ambrak	Torricelli	Latn	Ambrak
aah	aah	Abu' Arapesh	Torricelli	Latn	Abu' Arapesh
